company_name,contact_name,email,phone,country,lanes,fmc_id,trade_name,license_number,city,state,zip,street,carrier_type,qi_title,renewal_date,fax
BEST WAY LOGISTICS CORP.,GAVIN BOUSCHER,,954-243-3976,UNITED STATES,,022636,,022636,CORAL SPRINGS,FL,33071,9773 NW 4TH STREET,NVOCC,DIR/PRES/SEC/TREAS,2029-06-30,
FALCON CONTAINERLINE LLC,BILAL NASIR,,(732) 733-2494,UNITED STATES,,022640,,022640,SOUTH PLAINFIELD,NJ,07080,5001 HADLEY ROAD SUITE 200,NVOCC,MEMBER,2027-10-31,(732) 733-9094
DAPEX INC.,DAVID DVINOV,,(212) 796-6646,UNITED STATES,,022641,,022641,LINDEN,NJ,07036,1600 LOWER ROAD,NVOCC,PRESIDENT/SECRETARY/TREASURER,2027-01-31,(888) 341-8868
KASE CONTAINER LINE LIMITED,,,,HONG KONG,,022647,,,KOWLOON,,,"ROOM 305, 3/F, BLOCK A, ALEXANDRA INDUSTRIAL BUILDING, 1066 TUNG CHAU WEST ST., LAI CHI KOK",NVOCC,,2028-09-09,
"SECUREGLOBAL LOGISTICS, INC.",GEORGE BOOTH,,(281) 260-0222,UNITED STATES,,022648,,022648,HOUSTON,TX,77067,1045 GREENS PARKWAY,NVOCC + FF,CEO,2027-08-31,(281) 227-7241
CONTEX SHIPPING (USA) INC.,BENNET RIEMEIER,,(440) 243-2201,UNITED STATES,,022649,,022649,CLEVELAND,OH,44102,"1935 W. 96TH STREET, UNIT D",NVOCC + FF,"VICE PRESIDENT, SECRETARY",2027-09-30,(440) 243-4235
"LARS COURIER, INC.",ANDRES PANESSO,,(305) 785-7210,UNITED STATES,,022658,LARS INTERNATIONAL FREIGHT FORWARDERS,022658,DORAL,FL,33172,9910 NW 21ST STREET,NVOCC + FF,PRESIDENT,2027-08-31,(305) 675-8289
"INTERTRANS EXPRESS (NY), INC.",CHUN (PETER) TAO,,(516) 812-8500,UNITED STATES,,022659,,022659,VALLEY STREAM,NY,11580,20 W. LINCOLN AVE. SUITE 102,NVOCC,PRESIDENT/SECRETARY/TREASURER,2027-09-30,(516) 812-8498
"T & B MASTER LOGISTICS, INC.",JUN HYUN PARK,,(310) 604-8070,UNITED STATES,,022660,,022660,CARSON,CA,90746,1490 BEACHEY PLACE,NVOCC + FF,PRESIDENT/CEO/TREASURER/CFO/SECRETARY,2027-10-31,(310) 604-8060
"SHANGHAI YAOHWA INTERNATIONAL FORWARDER CO., LTD.",,,,CHINA,,022661,,,SHANGHAI   200042,,,"10/F., KAIKAI PLAZA, NO. 888 WANHANGDU ROAD JINAN DISTRICT",NVOCC,,2028-09-16,
AA CARGO,ARBEN HODZA,,(650) 244-9600,UNITED STATES,,022663,,022663,SOUTH SAN FRANCISCO,CA,94080,139 MITCHELL AVENUE SUITE 201,NVOCC,CEO/CFO/SECRETARY,2027-03-31,(866) 866-1794
"PACIFIC GLORY USA, INC",KIL RA,,(770) 232-4643,UNITED STATES,,022665,,022665,DULUTH,GA,30096,2730 NORTH BERKELEY LAKE ROAD SUITE B600,NVOCC,CEO/CFO/SECRETARY,2027-05-31,(770) 623-5906
EASTRANS ULUSLARARASI NAKLIYAT VE TICARET LTD. STI.,,,,TURKEY,,022667,"EASTRANS INT'L SHIPPING & TRADING CO., LTD.",,ISTANBUL 34734,,,HALK S. #27/11 SAHRAYICEDID,NVOCC,,2028-08-26,
LEADER OCEAN INTERNATIONAL (HK) LTD.,,,,HONG KONG,,022670,,,KOWLOON,,,"ROOM. 802, 8/F., BLOCK A, ALEXANDRA IND. BLDG. 1064-1066 TUNG CHAU WEST ST., LAI CHI KOK",NVOCC,,2028-09-16,
HELKA GLOBAL LOGISTICS LTD.,,,,HONG KONG,,022672,,,KOWLOON,,,"FLAT C, 2/F, CHUNG HING INDUSTRIAL MANSIONS 25-27 TAI YAU STREET, SANPOKONG",NVOCC,,2028-10-04,
M-PACT SOLUTIONS LLC,CARMEN GERACE,,(901) 367-9400,UNITED STATES,,022680,,000241,MEMPHIS,TN,38118,4294 SWINNEA ROAD,NVOCC + FF,PRESIDENT/CHIEF OPERATING OFFICER,2027-01-31,(901) 370-4288
"ICG WORLDWIDE, INC.",JOHN REARDON,,(617) 884-9911,UNITED STATES,,022688,,022688,CHELSEA,MA,02150,150 EASTERN AVENUE,NVOCC,PRESIDENT,2028-08-31,(617) 884-9966
TRIPS LOGISTICS CORP,AMALE NAJJAR,,(978) 273-0520,UNITED STATES,,022689,,022689,MCLEAN,VA,22102,8220 CRESTWOOD HEIGHTS DRIVE APT 103,NVOCC + FF,PRESIDENT/SECRETARY/TREASURER,2028-09-30,(617) 500-9939
"TTS WORLDWIDE, LLC",BERNADETTE PROCTOR,,516-654-7226,UNITED STATES,,022690,,022690,WESTBURY,NY,11590,265 POST AVENUE SUITE 333,NVOCC + FF,VICE PRESIDENT,2028-10-31,516-519-8197
LINK LINES LOGISTICS INC,CHARLES AUDI,,(973) 686-0200,UNITED STATES,,022693,,022693,DAYTONA BEACH,FL,32114,128 ORANGE AVENUE,NVOCC + FF,PRESIDENT/CEO,2028-03-31,
KANEMATSU LOGISTICS & INSURANCE LTD.,,,,JAPAN,,022695,KANEMATSU L&I,,TOKYO   103-0013,,,"5/F., SAWANOTSURU-NINGYOCHO BLDG. 1-3-8, NIHONBASHI-NINGYO-CHO, CHUO-KU",NVOCC,,2028-08-30,
LOZADA CORPORATION,CRISTIAN MONTECINOS,,(703) 532-6465,UNITED STATES,,022696,LOZADA TRANSPORTATION SERVICES,022696,STERLING,VA,20164,22135 DAVIS DR SUITE 118,NVOCC,SECRETARY,2028-06-30,(703) 635-2143
PERFECT LOGISTICS INTERNATIONAL INC.,LILI GU,,(310) 635-0112,UNITED STATES,,022703,,018394,CARSON,CA,90746,1683 E DEL AMO BLVD,NVOCC,PRESIDENT,2028-04-30,(310) 635-0133
"FLASH AIR CARGO, INC.",JOSE MONTERO,,(305) 463-7553,UNITED STATES,,022704,,022704,DORAL,FL,33178,5930 NW 99TH AVE UNIT 13,NVOCC,PRESIDENT,2028-04-30,(305) 397-1998
EMPIRE WORLDWIDE LOGISTICS LLC,KENNETH QUARTAROLO,,(516) 241-4649,UNITED STATES,,022706,,022706,EL SEGUNDO,CA,90245,840 APOLLO STREET SUITE 100,NVOCC,MEMBER/MANAGER,2028-06-30,
"LHE INTERNATIONAL, INC.",LETICIA MACHUCA,,(305)889-0550,UNITED STATES,,022707,,022707,DORAL,FL,33166,6600 NW 82ND AVENUE,NVOCC + FF,PRESIDENT,2028-07-31,
ROUTE 809 FREIGHT FORWARD LLC,EDUARDO PICHARDO,,(305) 594-2288,UNITED STATES,,022710,,022710,MIAMI,FL,33166,7801 NW 66TH STREET,NVOCC + FF,MANAGER/MEMBER,2026-10-31,(305) 594-2288
"UNITED SUNFINE LOGISTICS, INC.",MEILING CHAN,,(909) 839-2860,UNITED STATES,,022715,,022715,CITY OF INDUSTRY,CA,91748,17870 CASTLETON STREET SUITE 208,NVOCC,CFO/SECRETARY,2029-05-31,(909) 839-0108
EJ TRADE LOGISTICS LLC,JOANI VIEITES,,(973) 647-2341,UNITED STATES,,022718,,022718,DORAL,FL,33178,6308 NW 97TH AVENUE,NVOCC + FF,MANAGING MEMBER,2029-08-31,(877) 336-5984
"PRO-LINE SHIPPING, INC.",HAN (TONY) LIU,,(626) 300-8400,UNITED STATES,,022720,ALLIED SHIPPING,022720,EL MONTE,CA,91731,9910 BALDWIN PLACE,NVOCC + FF,PRESIDENT,2026-10-31,(626) 300-8488
AIF GLOBAL LOGISTICS CO LTD,,,,CHINA,,022723,,,SHANGHAI 200366,,,"22F., ROOM 2202, NO. 322 XIANXIA ROAD SINGULAR MANSION",NVOCC,,2028-10-17,
"YABUKI KAIUN KAISHA, LTD.",,,,JAPAN,,022725,,,TOKYO,,,"17-4, 2 CHOME, SHIBAURA MINATO-KU",NVOCC,,2028-10-21,
KGW LOGISTICS (M) SDN. BHD.,,,,MALAYSIA,,022726,,,SHAH ALAM 40150,,,"6, JALAN PEMAJU U1/15, HICOM-GLENMARIE INDUSTRIAL PARK, SELANGOR",NVOCC,,2028-08-30,
METRO FREIGHT GROUP INC.,TERRY CHEN,,(917) 710-4179,UNITED STATES,,022733,,022733,VALLEY STREAM,NY,11580,24 PUTNAM AVENUE,NVOCC,PRESIDENT/VICE PRESIDENT/SECRETARY/TREASURER,2029-03-31,(718) 527-4321
"PROPEL LOGISTICS INTERNATIONAL, INC.",ARTHUR BRAVO,,(562) 422-3111,UNITED STATES,,022736,,022736,LONG BEACH,CA,90807,1165 EAST SAN ANTONIO DRIVE SUITE E,NVOCC,PRESIDENT,2026-06-30,(562) 422-3118
GROUP7 AG,,,,GERMANY,,022738,GROUP7 OCEAN LINES,,SCHWAIG  85445,,,ULMENSTRASSE 7,NVOCC,,2029-01-22,
HAVI CONTAINER LINE LIMITED,,,,HONG KONG,,022754,,,KOWLOON BAY,,,"ROOM 2808, 28/F, EXCHANGE TOWER 33 WANG CHIU ROAD",NVOCC,,2028-09-16,
JSK LOGISTICS LLC,JIGAR CHOKSI,,(732) 318-6963,UNITED STATES,,022759,JSK LINES,022759,METUCHEN,NJ,08840,4 WERNIK PLACE,NVOCC + FF,MEMBER,2027-09-30,(732) 318-6963
"GOOD SERVICE LOGISTICS CO., LTD.",,,,"KOREA, SOUTH",,022762,,,SEOUL,,,"1-405, ACE HIGHTECH CITY, 775, GYEONGIN-RO, YEONGDEUNGPO-GU",NVOCC,,2028-10-21,
"GTS CARGO, INC.",PATRICIA DE MIRANDA COUTINHO CICALA,,(786) 568-8389,UNITED STATES,,022767,,022767,DORAL,FL,33178,6030 NW 99TH AVE SUITE 400,NVOCC + FF,PRESIDENT/TREASURER,2027-07-31,
"LOPA CO., LTD.",TONY LEE,,(626) 476-3315,UNITED STATES,,022768,,022768,EL MONTE,CA,91731,9690 TELSTAR AVENUE SUITE 225,NVOCC + FF,VICE PRESIDENT,2027-08-31,(626) 444-9088
WLI (USA) INC.,WAI MAN (ERIC) TANG,,(718) 244-6900,UNITED STATES,,022773,,022773,JAMAICA,NY,11434,175-11 148TH ROAD SUITE 203,NVOCC + FF,DIRECTOR/PRESIDENT/SECRETARY/TREASURER,2028-03-31,(718) 244-6281
TRANSWORLD LOGISTICS LTD.,,,,ISRAEL,,022775,,,SHOHAM   6083705,,,1 RAKEFET STREET,NVOCC,,2028-09-16,
"CENTURY DISTRIBUTION SYSTEMS, INCORPORATED",IAN MENEAR,,(804) 762-6510,UNITED STATES,,022780,CENTURY EXPRESS,022780,GLEN ALLEN,VA,23059,140 EASTSHORE DRIVE SUITE 210,NVOCC + FF,CHIEF OPERATING OFFICER,2025-10-31,(804) 762-6460
INTERNATIONAL TRADE MANAGEMENT PTY. LTD.,,,,AUSTRALIA,,022782,,,MELBOURNE   3043,,,106-110 LAMBECK DRIVE TULLAMARINE,NVOCC,,2028-09-01,
TRIPLE EAGLE CONTAINER LINE (SHENZHEN) CO. LTD.,,,,CHINA,,022784,,,SHENZHEN 518005,,,"ROOM 2908, SHENZHEN KERRY CENTRE 2008 REMINNAN ROAD, LOWU DISTRICT",NVOCC,,2028-09-09,
"FAMEX SEA & AIR CO., LTD.",,,,"KOREA, SOUTH",,022785,,,SEOUL 04537,,,"RM 1603, 141-7, TOEGYE-RO, JUNG-GU",NVOCC,,2028-09-25,
EC LOGISTICS LLC,XIN CHEN,,(310) 862-9999,UNITED STATES,,022793,,022793,EL SEGUNDO,CA,90245,1700 E WALNUT AVENUE STE 420,NVOCC,MEMBER/MANAGER/CHIEF EXECUTIVE MANAGER,2028-03-31,(310) 321-7768
"GILSCOT-GUIDROZ INTERNATIONAL COMPANY, INC.","KEITH GUIDROZ, SR.",,(504) 731-1997,UNITED STATES,,022796,GUIDROZ WORLDWIDE OCEAN SERVICES CO.,004054,MARRERO,LA,70072,5124 TARAVELLA ROAD,NVOCC + FF,PRESIDENT,2027-04-30,(504) 731-1998
GAC ENERGY & MARINE SERVICES LLC,MIRANDA SHUMAN,,(713) 660-1650,UNITED STATES,,022798,GAC MARINE & ENERGY SERVICES LLC,022798,HOUSTON,TX,77032,16200 CENTRAL GREEN BLVD.,NVOCC + FF,OCEAN EXPORT SUPERVISOR/TREASURER,2028-08-31,(000) 000-0000
ATLANTIC CARGO LOGISTICS LLC,DIETMAR LUTTE,,(386) 490-9743,UNITED STATES,,022799,,022799,RINCON,GA,31326,323 COMMERCE DRIVE,NVOCC,MANAGING MEMBER,2028-09-30,(407) 574-7956
A SHIPPING,TUONG LAM,,(626)458-8800,UNITED STATES,,022803,,022803,ALHAMBRA,CA,91801,430 SOUTH GARFIELD AVENUE SUITE 403,NVOCC,PRESIDENT,2028-03-31,626-458-8802
"SATELLITE LOGISTICS GROUP, INC.",JAMES MONKMEYER,,(614) 865-8318,UNITED STATES,,022808,,016725,WESTERVILLE,OH,43065,360 WESTAR BLVD,NVOCC + FF,"VICE PRESIDENT, SEA FREIGHT",2029-05-31,(614) 865-8879
PARISI GRAND SMOOTH LOGISTICS LTD.,,,,HONG KONG,,022818,,,KOWLOON,,,"UNIT G & H, 9/F., DRAGON INDUSTRIAL BLDG. 93 KING LAM STREET, LAI CHI KOK",NVOCC,,2028-08-26,
CAN-MED LINES (CANADA) INC.,,,,CANADA,,022819,,,ST. LAURENT (QUEBEC)   H4R 2H4,,,5405 THIMENS BLVD. SUITE 200,NVOCC,,2029-01-23,
"INTERLOGIC, INC.",IVAN GERDZHIKOV,,(323) 588-8900,UNITED STATES,,022822,,022822,HUNTINGTON PARK,CA,90255,2059 BELGRAVE AVENUE,NVOCC,PRESIDENT/SECRETARY/TREASURER,2029-02-28,(323) 488-9770
KINGS INTERNATIONAL GROUP INC.,JEFF SU,,(626) 316-2861,UNITED STATES,,022824,KIG SOLUTIONS,022824,ARCADIA,CA,91006,440 EAST HUNTINGTON DRIVE 3RD FLOOR,NVOCC,PRESIDENT/TREASURER/SECRETARY,2029-04-30,(626) 537-4718
"AIR SEA AMERICA, INC.",DONALD JAY,,(253) 395-9551,UNITED STATES,,022825,,022825,AUBURN,WA,98001,3500 WEST VALLEY HIGHWAY N UNIT B-106,NVOCC + FF,PRESIDENT,2029-05-31,(253) 395-9556
TRADEWINGS USA CORP.,CARRIE TAYLOR,,(305) 915-2610,UNITED STATES,,022826,,022826,MEDLEY,FL,33166,7206 NW 84TH AVE,NVOCC + FF,SECRETARY,2029-06-30,(305) 575-1535
"STELLA MARIS INTERNATIONAL TRADING, INC.",NADYA OJEDA,,(813) 345-6474,UNITED STATES,,022827,OP SHIPPING,022827,PORT EVERGLADES,FL,33316,2550 EISENHOWER BLVD STE 314,NVOCC + FF,PRESIDENT,2029-07-31,(866) 506-7827
"CHEM-STAR GLOBAL LOGISTICS, LLC",NICHOLAS WARREN,,(505) 336-8519,UNITED STATES,,022834,,022834,ALBUQUERQUE,NM,87109,5131 MASTHEAD ST. NE,NVOCC + FF,MANAGING DIRECTOR,2026-04-30,(505) 344-9006
SCIENCE LOGISTICS CORP.,HELIO CAVALCANTE,,(305) 463-6830,UNITED STATES,,022838,,022838,MIAMI,FL,33166,8249 NW 66TH STREET,NVOCC,VICE PRESIDENT,2026-08-31,(786) 472-4591
"TOP SHIPPING SYSTEMS, CORP.",YENIRETH DE FREITAS,,(305) 639-3401,UNITED STATES,,022839,,022839,MIAMI,FL,33182,12480 NW 25TH STREET SUITE 100,NVOCC + FF,VICE PRESIDENT/SECRETARY,2026-09-30,(305) 677-8030
"EMPIRE GLOBAL LINES, INC.",URI COHEN,,(201) 703-1400,UNITED STATES,,022843,,022843,FAIR LAWN,NJ,07410,17-01 POLLITT DRIVE,NVOCC,"PRESIDENT,SECRETARY",2027-03-31,(201) 703-1454
A.C. GLOBAL LLC,SOPHIE PERSITS,,(732) 680-1998,UNITED STATES,,022846,ACG,022846,LINDEN,NJ,07036,1600 LOWER ROAD 1ST FLOOR,NVOCC,MEMBER,2027-06-30,(732) 749-1122
"MONTGOMERY INTERNATIONAL, INC.",ARI BOBROW,,(610) 521-1450,UNITED STATES,,022848,,022848,ESSINGTON,PA,19029,341 ERICKSON AVE,NVOCC + FF,EXPORT MANGER,2027-08-31,(610) 521-9566
INDIA MARITIME AGENCY LLC,JOSEPH MONAGHAN,,(201) 556-0909,UNITED STATES,,022849,INTERNATIONAL MARITIME AGENCY LLC,022849,PARAMUS,NJ,07652,80 STATE ROUTE 4 EAST SUITE 410,NVOCC,PRESIDENT/CEO,2027-09-30,(000) 000-0000
SEABOX LIMITED,,,,UNITED KINGDOM,,022851,,,LONDON    SW7 2BJ,,,7 ALBERT COURT PRINCE CONSORT ROAD,NVOCC,,2028-10-17,
BEST SERVICES INTERNATIONAL FREIGHT LTD.,,,,CHINA,,022856,,,SHENZHEN 518128,,,"RM 506, LOGISTICS BUILDING, NO.2039, HANGZHAN 4TH ROAD, BAOAN DISTRICT",NVOCC,,2028-10-10,
FEDEX LOGISTICS EMEA B.V.,,,,NETHERLANDS,,022857,,,HOOFDDORP 2132 JH,,,POLARISAVENUE 21,NVOCC,,2028-10-18,
KING SHIPPING COMPANY,,,,CHINA,,022859,,,SHANGHAI 200086,,,"ROOM 2109,NO.188 SIPING ROAD",NVOCC,,2028-08-26,
OM TRANS LOGISTICS LTD.,,,,INDIA,,022861,,,NEW DELHI 110035,,,"159, TRANSPORT CENTER NEAR PUNJABI BAGH FLYOVER",NVOCC,,2029-01-17,
"AMERICAN CARGOSERVICE, INC.",ELLEN LARAMIE,,(858) 565-4125,UNITED STATES,,022862,,022862,SAN DIEGO,CA,92111,7886 CONVOY COURT,NVOCC + FF,VICE PRESIDENT,2027-02-28,(858) 565-7623
CIL FREIGHT INC.,YING LIU,,(626) 625-2241,UNITED STATES,,022863,AMERICA TRANS INTERNATIONAL,022863,WALNUT,CA,91789,20632 CURRIER ROAD,NVOCC + FF,PRESIDENT/SECRETARY/CFO,2027-03-31,(678) 954-6887
EMBARQUE LA ESPANOLA CORP.,ALTGAGRACIA URENA,,(646) 571-7347,UNITED STATES,,022864,,022864,EAST ELMHURST,NY,11369,31-01 102ND STREET,NVOCC + FF,TREASURER/SECRETARY,2027-04-30,(718) 565-9751
"GRUPO TICAL HOLDING, INC.",ALBERT OSES,,(305) 915-2074,UNITED STATES,,022866,GTH CORPORATION,022866,CORAL GABLES,FL,33146,5900 S LEJEUNE RD,NVOCC + FF,SECRETARY/TREASURER,2027-06-30,
"INTERPORT LOGISTICS, LLC",JOSE DE VIVERO,,(305) 477-1910,UNITED STATES,,022867,,018381,MIAMI,FL,33182,12950 NW 25TH STREET SUITE 100,NVOCC + FF,PRESIDENT/CEO/MEMBER/INDIVIDUAL MANAGER,2028-01-31,(305) 477-6776
"SHIPPING SOLUTIONS WORLDWIDE, LTD.",RAUL ZAMBRANO,,(301) 926-3600,UNITED STATES,,022871,,022871,GAITHERSBURG,MD,20879,18926 BONANZA WAY,NVOCC + FF,VICE PRESIDENT,2028-01-31,(301) 926-3662
"OCEAN CHANNEL SHIPPING CO., LTD.",XIAOHUA HUO,,(626) 377-7171,UNITED STATES,,022882,,022882,ONTARIO,CA,91761,2131 S. GROVE AVENUE UNIT M,NVOCC,PRESIDENT/CEO/SECRETARY/DIRECTOR,2028-02-28,
"SIMAN LOGISTICS, INC.",WOLFGANG RIES,,239-791-2914,UNITED STATES,,022883,,022883,CAPE CORAL,FL,33914,2522 SW 51ST STREET,NVOCC + FF,SENIOR VICE PRESIDENT,2028-03-31,
TOP WISE LOGISTICS INC.,FANNY SUNG,,(562) 927-2888,UNITED STATES,,022884,,022884,COMMERCE,CA,90040,6800 WATCHER STREET,NVOCC,CEO/SECRETARY/CFO/DIRECTOR,2028-04-30,(562) 927-6888
TOLL GLOBAL FORWARDING (HONG KONG) LIMITED,,,,HONG KONG,,022887,,,KOWLOON,,,"UNIT 2009-13, TOWER A, 83 KING LAM STREET CHEUNG SHA WAN,",NVOCC,,2028-10-11,
UJ EXPRESS COMPANY LIMITED,,,,TAIWAN,,022892,,,TAIPEI  CITY 10468,,,"1/F., NO. 12, LN. 175, JINZHOU STREET ZHONGSHAN DISTRICT",NVOCC,,2028-09-24,
"BYTR INTERNATIONAL, INC.",BAHTIYAR YURDAKUL,,(904) 608-6556,UNITED STATES,,022894,,022894,JACKSONVILLE,FL,32256,8283 BAYMEADOWS ROAD E. #2204,NVOCC + FF,PRESIDENT/SECRETARY/TREASURER,2028-04-30,(904) 399-2822
"MODO INTERNATIONAL TRANSPORTATION CO., LTD.",,,,CHINA,,022896,,,SHANGHAI   200080,,,"ROOM 1202, 7RD BUILDING LANE 1727, NORTH SICHUAN ROAD",NVOCC,,2026-08-14,
TGP LOGISTICS INC.,JULIAN CLARKE,,(346) 708-7832,UNITED STATES,,022897,,022897,HOUSTON,TX,77060,16945 NORTHCHASE DR. STE 1475,NVOCC + FF,SECRETARY,2028-07-31,
AVENUE 8 GROUP INC,RYAN LUU,,(800) 320-7589,UNITED STATES,,022899,AVENUE INTERNATIONAL,022899,BALDWIN PARK,CA,91706,5175 COMMERCE DRIVE,NVOCC + FF,PRESIDENT,2028-09-30,(310) 382-2409
DUKE SYSTEM LOGISTICS INC.,KAIHONG (MICHAEL) YANG,,(909) 385-1688,UNITED STATES,,022906,,022906,ONTARIO,CA,91762,5150 S ARCHIBALD AVE,NVOCC + FF,PRESIDENT,2028-06-30,(909) 385-1699
CARGO CONSOLIDATORS AGENCY LTD.,,,(305) 593-9961,TRINIDAD AND TOBAGO,,022909,,,PORT OF SPAIN,,,43 NEW STREET,NVOCC,,2028-10-17,
WINSPEED LOGISTICS LIMITED,,,,CHINA,,022910,,,SHANGHAI   200081,,,"ROOM 7G1, 7/F. NO. 1111 LI YANG ROAD",NVOCC,,2028-10-11,
TRIUMPH EXPRESS SERVICE CANADA INC.,,,,CANADA,,022911,,,"MISSISSAUGA, ONTARIO, L4V 1S8",,,3030 ORLANDO DRIVE,NVOCC,,2028-03-28,
AARON P.B. PRODUCTION CORPORATION,MARIUSZ PIWOWARCZUK,,(201) 330-1975,UNITED STATES,,022921,,022921,EDISON,NJ,08837,1 NIXON LANE,NVOCC,VICE PRESIDENT,2028-01-31,(201) 330-0429
"YOYO LOGIX CO., LTD.",,,,"KOREA, SOUTH",,022924,,,"SEOUL,  04512",,,"#1305, 42, CHILPAE-RO JUNG-GU",NVOCC,,2028-10-11,
"TRICON CONTAINER LINE, LLC",NEAL ROSENBERG,,(212) 966-0084,UNITED STATES,,022931,,022931,NEW YORK,NY,10017,733 THIRD AVE 16TH FLOOR,NVOCC + FF,MEMBER/MANAGER,2029-01-31,(212) 966-5414
NOBLE SHIPPING PVT. LTD.,,,,INDIA,,022944,,,MUMBAI 400001,,,"237 P D'MELLO ROAD, G-5 GULAB BLDG. GROUND FLOOR, FORT",NVOCC,,2028-09-16,
SEAGLOBAL TRADING AND LOGISTICS PRIVATE LIMITED,,,,INDIA,,022945,,,CHENNAI   600100,,,"P.NO. 16A GANDHI STREET, PALLIKARANAI, TN",NVOCC,,2028-09-16,
"BESTOCEAN WORLDWIDE LOGISTICS, INC.",YUXIN WANG,,(909) 219-8000,UNITED STATES,,022947,,022947,DIAMOND BAR,CA,91765,"1520 BRIDGEGATE DR., SUITE 201",NVOCC + FF,DIRECTOR/PRESIDENT/CEO,2027-07-31,(909) 219-8100
"KESCO LOGISTICS, INC.",GEOFFREY TICE,,(516) 341-7310,UNITED STATES,,022951,,022951,LYNBROOK,NY,11563,266 MERRICK ROAD SUITE 200,NVOCC + FF,PRESIDENT,2027-01-31,(516) 887-0434
GLOBELINK LOGISTICS INC,MARK PORGES,,(732) 961-6049,UNITED STATES,,022952,,022952,LAKEWOOD,NJ,08701,19-A SIENNA WAY,NVOCC + FF,CEO,2027-02-28,(732) 520-6447
"PRIMEX CARGO, INC.",CHRIS KANG,,714-822-0533,UNITED STATES,,022957,,022957,ANAHEIM,CA,92801,106 N TREVISO DR,NVOCC,PRESIDENT/SECRETARY/TREASURER,2027-07-31,
"SPACE LINK TRANSPORTATION CO., LTD.",,,,TAIWAN,,022961,,,TAIPEI,,,"11/F, NO 10, LANE 298, XIN-MING ROAD, NEIHU DIST.,",NVOCC,,2028-10-17,
"SHENZHEN NEWLANDOCEAN INTERNATIONAL LOGISTICS CO., LTD.",,,,CHINA,,022962,,,SHENZHEN   518067,,,"RM.821, MERCHANTS BLDG., NO.168 MERCHANTS RD., NANSHAN DISTRICT",NVOCC,,2028-09-16,
BARRACUDA GLOBAL LOGISTICS LLC,JAMES CAFRO,,(908) 420-0555,UNITED STATES,,022965,BGLSHIP,022965,MILFORD,NJ,08848,417 STAMETS ROAD,NVOCC + FF,MEMBER,2027-05-31,
CAR GO WORLDWIDE INC.,LIONEL PERERA,,(310) 627-4011,UNITED STATES,,022966,,022966,COMPTON,CA,90220,172 EAST MANVILLE STREET,NVOCC,PRESIDENT,2027-06-30,(310) 627-4960
"CONCEPTUM LOGISTICS (USA), LLC",MARC HAPANIONEK,,(281) 298-6410,UNITED STATES,,022967,,022967,SPRING,TX,77386,25700 INTERSTATE 45 NORTH SUITE 420,NVOCC + FF,PRESIDENT/CEO,2027-07-31,(281) 298-6450
SINO UNITED LINK CORPORATION,EDMOND CHEN,,(714) 379-6266,UNITED STATES,,022970,,022970,DIAMOND BAR,CA,91762,3230 FALLOW FIELD DR STE # 101,NVOCC,SECRETARY/CFO/TREASURER,2028-10-31,(714) 908-8398
STAR CLUSTER USA CORP.,YOUNG WOO CHUNG,,(404) 765-0075,UNITED STATES,,022974,,022974,DULUTH,GA,30096,4227 PLEASANT HILL RD. BLDG. 13. SUITE 201,NVOCC + FF,VICE PRESIDENT,2028-04-30,(404) 765-0073
TRANSPORT SERVICES & LOGISTICS LTD,,,,NEW ZEALAND,,022976,TRANSPORT SERVICES & LOGISTICS,,AUCKLAND 0745,,,"UNIT C, 129 ONEWA ROAD, NORTHCOTE",NVOCC,,2028-08-26,
"TIANJIN ALPS TEDA LOGISTICS CO., LTD.",,,,CHINA,,022977,,,TIANJIN  300457,,,"NO. 21 BOHAI ROAD, TEDA",NVOCC,,2028-09-01,
BLS CORP.,,,,"KOREA, SOUTH",,022978,,,SEOUL 07528,,,"#1206 A-DONG, GANGSEO HANGANG XI TOWER 401 YANGCHEN-RO, GANGSEO-GU",NVOCC,,2028-08-30,
"ECU WORLDWIDE KOREA CO.,LTD.",,,,"KOREA, SOUTH",,022979,ECU KOREA,,SEOUL 07271,,,"WORLD MERIDIAN BIZ CENTER, ROOM 906, 53 YANGSAN-RO, YOUNGDEUNGPO-GU",NVOCC,,2029-01-18,
"F.H.L. LOGISTICS, INC.",ORIANA BETHENCOURT TABARES,,(305) 599-2990,UNITED STATES,,022983,,022983,MIAMI,FL,33166,8035 NW 68TH STREET,NVOCC + FF,PRESIDENT,2028-03-31,(305) 599-9910
RUKY INTERNATIONAL SHIPPING LINE LLC,AMARASENA RUPASINGHE,,732-319-2547,UNITED STATES,,022985,,022985,METUCHEN,NJ,08840,149 ISABELLE STREET,NVOCC,MEMBER/MANAGER,2028-05-31,
WORLD CLASS SOLUTIONS LLC,JORGELINA MARSAGLIA,,(786) 487-9583,UNITED STATES,,022988,,022988,MIAMI,FL,33166,8411 NW 74TH STREET,NVOCC,MANAGER/MEMBER/PRESIDENT,2028-08-31,(786) 206-3081
"THE LOGISTICS SOLUTIONS, LLC",HANI BEKDASH,,(469) 546-1002,UNITED STATES,,022990,,022990,CARROLLTON,TX,75010,4300 REEDER DRIVE,NVOCC + FF,DIRECTOR (INTERNATIONAL LOGISTICS),2028-10-31,(214) 853-4846
